stockCount,storeStreet,storeState,storeCity,itemID
1261,"056 Lawrence Isle Apt. 609",Virginia,"Lake Marcus",1
585,"09188 Colleen Overpass",Connecticut,"Port Christopherland",1
7988,"110 Brown Terrace Suite 431","South Carolina","North Sheri",1
8636,"1127 Drake Manors",Wisconsin,Princehaven,1
9245,"14257 Kelley Spring Suite 397",Oregon,Joannemouth,1
2537,"2378 Franklin Walk",Maryland,"East Julieside",1
9995,"321 Caldwell View Apt. 900",Missouri,Jenniferport,1
5071,"330 Christina Fork",Hawaii,"West Larry",1
2774,"336 Robert Trace",Arizona,"West Veronicashire",1
77,"360 Hall Centers",Minnesota,"New Rachel",1
8346,"3925 Williams Causeway Apt. 462",Colorado,Theresatown,1
7695,"4092 Donald Union Suite 517","South Carolina",Kington,1
1270,"4148 Mark Mountains Apt. 333",Virginia,Nathanville,1
6897,"416 Robyn Walks",Wisconsin,"Lake Kathrynfurt",1
892,"42314 Alexa Court Suite 700",Nebraska,Christinafurt,1
2510,"42828 Gonzalez Prairie",Alabama,"New Roy",1
444,"43498 Chavez Alley Apt. 524",Nevada,Harrismouth,1
9978,"4381 King Locks",Nebraska,Stephensview,1
8573,"495 Kimberly Place","Rhode Island","Lake Robertfort",1
5235,"5641 Chapman Springs Apt. 995",Vermont,Fullerton,1
5665,"584 Ryan Mountain Apt. 396","South Dakota","New Anthony",1
3277,"60694 Angela Turnpike Suite 662",Maine,Brownmouth,1
4914,"687 Michelle Forges",Michigan,"Port Brian",1
4098,"70220 Lauren Point",Maryland,"New Charles",1
7390,"79638 Liu Throughway Suite 871",Florida,Copelandville,1
430,"84195 Robinson Highway Suite 441","New York","East Toni",1
5857,"875 Phillips Canyon",Florida,Garciaside,1
3917,"879 Stephens Mountain",Oregon,Ashleymouth,1
6479,"882 Michael Ford Apt. 928",Connecticut,"New Jamesmouth",1
1550,"902 Jackson Mountains Suite 082",Colorado,"North Samanthaland",1
5047,"056 Lawrence Isle Apt. 609",Virginia,"Lake Marcus",2
2727,"09188 Colleen Overpass",Connecticut,"Port Christopherland",2
3719,"110 Brown Terrace Suite 431","South Carolina","North Sheri",2
5749,"1127 Drake Manors",Wisconsin,Princehaven,2
9568,"14257 Kelley Spring Suite 397",Oregon,Joannemouth,2
6520,"2378 Franklin Walk",Maryland,"East Julieside",2
9861,"321 Caldwell View Apt. 900",Missouri,Jenniferport,2
3789,"330 Christina Fork",Hawaii,"West Larry",2
7132,"336 Robert Trace",Arizona,"West Veronicashire",2
2479,"360 Hall Centers",Minnesota,"New Rachel",2
3590,"3925 Williams Causeway Apt. 462",Colorado,Theresatown,2
3297,"4092 Donald Union Suite 517","South Carolina",Kington,2
2877,"4148 Mark Mountains Apt. 333",Virginia,Nathanville,2
7322,"416 Robyn Walks",Wisconsin,"Lake Kathrynfurt",2
3422,"42314 Alexa Court Suite 700",Nebraska,Christinafurt,2
4804,"42828 Gonzalez Prairie",Alabama,"New Roy",2
2865,"43498 Chavez Alley Apt. 524",Nevada,Harrismouth,2
2206,"4381 King Locks",Nebraska,Stephensview,2
3474,"495 Kimberly Place","Rhode Island","Lake Robertfort",2
2667,"5641 Chapman Springs Apt. 995",Vermont,Fullerton,2
8849,"584 Ryan Mountain Apt. 396","South Dakota","New Anthony",2
6410,"60694 Angela Turnpike Suite 662",Maine,Brownmouth,2
5800,"687 Michelle Forges",Michigan,"Port Brian",2
6851,"70220 Lauren Point",Maryland,"New Charles",2
1622,"79638 Liu Throughway Suite 871",Florida,Copelandville,2
8066,"84195 Robinson Highway Suite 441","New York","East Toni",2
3954,"875 Phillips Canyon",Florida,Garciaside,2
3435,"879 Stephens Mountain",Oregon,Ashleymouth,2
2666,"882 Michael Ford Apt. 928",Connecticut,"New Jamesmouth",2
2944,"902 Jackson Mountains Suite 082",Colorado,"North Samanthaland",2
5080,"056 Lawrence Isle Apt. 609",Virginia,"Lake Marcus",3
4700,"09188 Colleen Overpass",Connecticut,"Port Christopherland",3
2817,"110 Brown Terrace Suite 431","South Carolina","North Sheri",3
5442,"1127 Drake Manors",Wisconsin,Princehaven,3
8694,"14257 Kelley Spring Suite 397",Oregon,Joannemouth,3
5795,"2378 Franklin Walk",Maryland,"East Julieside",3
4326,"321 Caldwell View Apt. 900",Missouri,Jenniferport,3
4524,"330 Christina Fork",Hawaii,"West Larry",3
9648,"336 Robert Trace",Arizona,"West Veronicashire",3
8446,"360 Hall Centers",Minnesota,"New Rachel",3
3503,"3925 Williams Causeway Apt. 462",Colorado,Theresatown,3
4424,"4092 Donald Union Suite 517","South Carolina",Kington,3
7217,"4148 Mark Mountains Apt. 333",Virginia,Nathanville,3
1007,"416 Robyn Walks",Wisconsin,"Lake Kathrynfurt",3
4544,"42314 Alexa Court Suite 700",Nebraska,Christinafurt,3
8803,"42828 Gonzalez Prairie",Alabama,"New Roy",3
3878,"43498 Chavez Alley Apt. 524",Nevada,Harrismouth,3
4815,"4381 King Locks",Nebraska,Stephensview,3
9746,"495 Kimberly Place","Rhode Island","Lake Robertfort",3
745,"5641 Chapman Springs Apt. 995",Vermont,Fullerton,3
1646,"584 Ryan Mountain Apt. 396","South Dakota","New Anthony",3
8543,"60694 Angela Turnpike Suite 662",Maine,Brownmouth,3
1138,"687 Michelle Forges",Michigan,"Port Brian",3
9958,"70220 Lauren Point",Maryland,"New Charles",3
1158,"79638 Liu Throughway Suite 871",Florida,Copelandville,3
246,"84195 Robinson Highway Suite 441","New York","East Toni",3
9423,"875 Phillips Canyon",Florida,Garciaside,3
4945,"879 Stephens Mountain",Oregon,Ashleymouth,3
721,"882 Michael Ford Apt. 928",Connecticut,"New Jamesmouth",3
7473,"902 Jackson Mountains Suite 082",Colorado,"North Samanthaland",3
6175,"056 Lawrence Isle Apt. 609",Virginia,"Lake Marcus",4
5426,"09188 Colleen Overpass",Connecticut,"Port Christopherland",4
6604,"110 Brown Terrace Suite 431","South Carolina","North Sheri",4
2097,"1127 Drake Manors",Wisconsin,Princehaven,4
7698,"14257 Kelley Spring Suite 397",Oregon,Joannemouth,4
6053,"2378 Franklin Walk",Maryland,"East Julieside",4
9187,"321 Caldwell View Apt. 900",Missouri,Jenniferport,4
1963,"330 Christina Fork",Hawaii,"West Larry",4
9595,"336 Robert Trace",Arizona,"West Veronicashire",4
5576,"360 Hall Centers",Minnesota,"New Rachel",4
7688,"3925 Williams Causeway Apt. 462",Colorado,Theresatown,4
2640,"4092 Donald Union Suite 517","South Carolina",Kington,4
8884,"4148 Mark Mountains Apt. 333",Virginia,Nathanville,4
6583,"416 Robyn Walks",Wisconsin,"Lake Kathrynfurt",4
9899,"42314 Alexa Court Suite 700",Nebraska,Christinafurt,4
4395,"42828 Gonzalez Prairie",Alabama,"New Roy",4
1635,"43498 Chavez Alley Apt. 524",Nevada,Harrismouth,4
9459,"4381 King Locks",Nebraska,Stephensview,4
620,"495 Kimberly Place","Rhode Island","Lake Robertfort",4
7204,"5641 Chapman Springs Apt. 995",Vermont,Fullerton,4
4962,"584 Ryan Mountain Apt. 396","South Dakota","New Anthony",4
6948,"60694 Angela Turnpike Suite 662",Maine,Brownmouth,4
5770,"687 Michelle Forges",Michigan,"Port Brian",4
4054,"70220 Lauren Point",Maryland,"New Charles",4
6069,"79638 Liu Throughway Suite 871",Florida,Copelandville,4
4348,"84195 Robinson Highway Suite 441","New York","East Toni",4
4904,"875 Phillips Canyon",Florida,Garciaside,4
6694,"879 Stephens Mountain",Oregon,Ashleymouth,4
7327,"882 Michael Ford Apt. 928",Connecticut,"New Jamesmouth",4
2896,"902 Jackson Mountains Suite 082",Colorado,"North Samanthaland",4
72,"056 Lawrence Isle Apt. 609",Virginia,"Lake Marcus",5
9169,"09188 Colleen Overpass",Connecticut,"Port Christopherland",5
4623,"110 Brown Terrace Suite 431","South Carolina","North Sheri",5
4744,"1127 Drake Manors",Wisconsin,Princehaven,5
3397,"14257 Kelley Spring Suite 397",Oregon,Joannemouth,5
862,"2378 Franklin Walk",Maryland,"East Julieside",5
1544,"321 Caldwell View Apt. 900",Missouri,Jenniferport,5
8461,"330 Christina Fork",Hawaii,"West Larry",5
9069,"336 Robert Trace",Arizona,"West Veronicashire",5
9103,"360 Hall Centers",Minnesota,"New Rachel",5
7347,"3925 Williams Causeway Apt. 462",Colorado,Theresatown,5
5886,"4092 Donald Union Suite 517","South Carolina",Kington,5
3641,"4148 Mark Mountains Apt. 333",Virginia,Nathanville,5
577,"416 Robyn Walks",Wisconsin,"Lake Kathrynfurt",5
2522,"42314 Alexa Court Suite 700",Nebraska,Christinafurt,5
1119,"42828 Gonzalez Prairie",Alabama,"New Roy",5
4790,"43498 Chavez Alley Apt. 524",Nevada,Harrismouth,5
2387,"4381 King Locks",Nebraska,Stephensview,5
2495,"495 Kimberly Place","Rhode Island","Lake Robertfort",5
3694,"5641 Chapman Springs Apt. 995",Vermont,Fullerton,5
9185,"584 Ryan Mountain Apt. 396","South Dakota","New Anthony",5
2796,"60694 Angela Turnpike Suite 662",Maine,Brownmouth,5
7119,"687 Michelle Forges",Michigan,"Port Brian",5
3172,"70220 Lauren Point",Maryland,"New Charles",5
9734,"79638 Liu Throughway Suite 871",Florida,Copelandville,5
7435,"84195 Robinson Highway Suite 441","New York","East Toni",5
